rank,page,likes,talking_about
1,Netflix Philippines,188.14M,4.76M
2,Netflix Thailand,188.14M,721.34K
3,Netflix Argentina,188.14M,372.23K
4,Netflix,188.14M,9.92K
5,Netflix Danmark,188.14M,30.96K
6,Netflix Hong Kong,188.14M,27
7,Netflix Brasil,188.14M,606.46K
8,Netflix ANZ,188.14M,557.97K
9,Netflix Sverige,188.14M,37.13K
10,Netflix Italia,188.14M,137.66K
11,Netflix Türkiye,188.14M,45.53K
12,Netflix MENA,188.14M,590.62K
13,Netflix Nederland,188.14M,146.35K
14,Netflix UK,188.13M,1.48M
15,Netflix Korea,188.13M,476.84K
16,Netflix Greece,188.13M,219
17,Netflix Japan,188.13M,87.31K
18,Netflix Norge,188.13M,20.47K
19,Netflix US,188.13M,4.13M
20,Netflix Czechia,188.13M,24.16K
21,Netflix Singapore,188.13M,645
22,Netflix Malaysia,188.13M,158.57K
23,Netflix DACH,188.13M,44.51K
24,Netflix Portugal,188.13M,114.11K
25,Netflix Colombia,188.13M,773.58K
26,Netflix Ukraine,188.13M,23.38K
27,Netflix Latino,188.13M,2.14M
28,Netflix Vietnam,188.13M,55.22K
29,Netflix France,188.13M,734.82K
30,Netflix Canada,188.13M,713.58K
31,Netflix Polska,188.13M,54.44K
32,Netflix España,188.13M,239.48K
33,Netflix South Africa,188.13M,709.58K
34,Netflix Romania,188.13M,35.39K
35,Cristiano Ronaldo,171.53M,2.15M
36,Samsung US,163.18M,54.71K
37,Samsung Argentina,163.18M,6.81K
38,Samsung España,163.18M,7.64K
39,Samsung Romania,163.18M,11.5K
40,Samsung Russia,163.18M,10
41,Samsung France,163.18M,17.65K
42,Samsung Philippines,163.18M,87.34K
43,Samsung Tanzania,163.18M,1.21K
44,Samsung Vietnam,163.18M,103.95K
45,Samsung Cambodia,163.18M,164.88K
46,Samsung Kazakhstan,163.18M,819
47,Samsung Bangladesh,163.18M,16.94K
48,Samsung Brasil,163.18M,45.08K
49,Samsung Croatia,163.18M,3.6K
50,Samsung Turkey,163.18M,25.06K
