rank,page,likes,talking_about
1,Cristiano Ronaldo,171.53M,2.45M
2,Samsung,162.26M,52.84K
3,Samsung,162.21M,36.48K
4,Samsung,162.1M,79.91K
5,Samsung,162.07M,18.01K
6,Samsung,162.04M,3.66K
7,Samsung,162.01M,5.97K
8,Samsung,161.98M,11.57K
9,Samsung,161.97M,54.15K
10,Samsung,161.96M,26.04K
11,Samsung,161.96M,4.2K
12,Samsung,161.95M,22.01K
13,Samsung,161.94M,4.05K
14,Samsung,161.92M,1.98K
15,Samsung,161.92M,38.23K
16,Samsung,161.92M,931
17,Samsung,161.92M,5.64K
18,Samsung,161.91M,88.92K
19,Samsung,161.91M,24.6K
20,Samsung,161.91M,28.64K
21,Samsung,161.91M,3.73K
22,Samsung,161.9M,97.71K
23,Samsung,161.89M,13
24,Samsung,161.89M,250
25,Samsung,161.89M,31.13K
26,Samsung,161.89M,1.52K
27,Samsung,161.88M,229
28,Samsung,161.88M,3.34K
29,Samsung,161.88M,81.56K
30,Samsung,161.87M,3.14K
31,Samsung,161.87M,11.35K
32,Samsung,161.87M,10.92K
33,Samsung,161.87M,3.08K
34,Samsung,161.87M,2.52K
35,Samsung,161.87M,4.76K
36,Samsung,161.87M,1.48K
37,Samsung,161.86M,5.95K
38,Samsung,161.86M,1.84K
39,Samsung,161.85M,692
40,Samsung,161.85M,4.16K
41,Samsung,161.85M,3.55K
42,Samsung,161.85M,3.04K
43,Samsung,161.85M,1.36K
44,Samsung,161.84M,863
45,Samsung,161.83M,5.54K
46,Samsung,161.82M,9K
47,Samsung,161.82M,15.53K
48,Samsung,161.82M,5.65K
49,Samsung,161.82M,11.61K
50,Samsung,161.76M,15.68K
51,Samsung,161.52M,188.63K
52,Facebook,155.37M,322.13K
53,5-Minute Crafts,141.19M,4.88M
54,Mr Bean,140.19M,1.07M
55,Real Madrid C.F.,133.76M,5.55M
56,Netflix,132M,3.43M
57,Netflix,126.3M,3.26M
58,CGTN,125.69M,2.8M
59,FC Barcelona,124.76M,10.59M
60,Shakira,122.13M,432.75K
61,Netflix,121.76M,2.26M
62,Netflix,121.18M,355.92K
63,Netflix,119.41M,260.45K
64,Netflix,119.28M,766.62K
65,Netflix,119.07M,984.66K
66,Netflix,118.9M,519.74K
67,Netflix,118.47M,765.62K
68,Netflix,118.04M,443.61K
69,Netflix,117.46M,200.1K
70,Netflix,117.37M,713.66K
71,Netflix,116.86M,762.59K
72,Leo Messi,116.74M,2.91M
73,Netflix,116.41M,114.25K
74,Netflix,116.25M,708.81K
75,Netflix,115.74M,28.84K
76,Netflix,115.39M,664
77,Netflix,115.25M,11.25K
78,Netflix,115M,159.8K
79,Netflix,114.87M,41.04K
80,Netflix,114.79M,278.78K
81,Netflix,114.7M,43.34K
82,Netflix,114.58M,33.89K
83,Netflix,114.54M,94.3K
84,Netflix,114.52M,18.4K
85,Netflix,114.47M,10.55K
86,Netflix,114.46M,37.68K
87,Netflix,114.41M,37.92K
88,Netflix,114.37M,37.87K
89,Netflix,114.3M,31.99K
90,Netflix,114.28M,48
91,Netflix,114.27M,26
92,Will Smith,114.2M,162.8K
93,YouTube,109M,128.87K
94,Coca-Cola,108.18M,1.01K
95,Coca-Cola,108.15M,85
96,Coca-Cola,108.15M,1.14K
97,Coca-Cola,108.15M,1.54K
98,Coca-Cola,108.14M,33.17K
99,Coca-Cola,108.14M,4.2K
100,Coca-Cola,108.13M,1.89K
