transaction_id,user_id,merchant_id,amount,transaction_type,merchant_category,device_type,country,hour,day_of_week,is_weekend,account_age_days,customer_tenure_months,prior_txn_24h,prior_txn_7d,avg_amount_30d,days_since_last_txn,chargeback_history,failed_login_24h,credit_score_band,is_foreign_txn,is_high_risk_country,is_new_device,merchant_risk_score,fraud_label
TXN000001,18032,576,60.19,purchase,health,desktop,IN,4,0,0,1893,63,2,11,40.35,7,0,0,fair,0,0,0,68,0
TXN000002,79655,334,29.36,purchase,gaming,mobile,AE,0,3,0,1441,48,0,9,28.79,3,0,0,good,0,1,0,37,0
TXN000003,68910,305,9.75,subscription,electronics,mobile,CA,10,3,0,474,15,0,10,8.99,2,1,1,good,0,0,0,45,0
TXN000004,49498,389,18.82,purchase,fashion,desktop,DE,6,5,1,505,16,1,8,16.2,15,0,0,very_good,0,0,0,88,0
TXN000005,48970,637,37.2,purchase,health,mobile,FR,0,4,0,2937,97,2,10,19.21,4,0,0,good,1,0,0,22,0
TXN000006,87272,317,71.25,purchase,health,desktop,IN,18,1,0,2666,88,3,10,60.79,2,0,0,very_good,0,0,0,41,0
TXN000007,17735,921,9.61,purchase,health,mobile,AU,14,2,0,2218,73,6,8,6.98,8,0,0,poor,0,0,0,88,0
TXN000008,72762,531,46.46,purchase,fashion,mobile,DE,21,3,0,3041,101,6,20,38.8,5,0,0,very_good,0,0,0,70,0
TXN000009,28132,876,44.66,transfer,health,mobile,US,11,6,1,253,8,0,6,50.0,8,0,0,excellent,0,0,0,11,0
TXN000010,18475,714,24.38,purchase,electronics,desktop,BR,10,3,0,2510,83,0,8,17.01,2,1,0,good,0,1,0,79,0
TXN000011,57382,399,21.58,purchase,fashion,mobile,US,20,4,0,2746,91,3,11,17.99,0,0,0,poor,0,0,0,7,0
TXN000012,97805,305,18.87,purchase,gaming,desktop,US,1,5,1,732,24,3,10,20.05,7,0,1,good,0,0,0,29,0
TXN000013,76216,768,41.54,cash_out,education,desktop,IN,8,2,0,1958,65,1,10,34.03,14,0,1,fair,0,0,0,92,0
TXN000014,78501,397,100.9,purchase,education,desktop,BR,19,6,1,2799,93,1,11,169.79,0,0,1,good,1,1,1,8,0
TXN000015,74572,321,107.56,purchase,utilities,mobile,SG,7,4,0,2203,73,2,10,104.83,0,0,0,poor,0,0,0,19,0
TXN000016,80745,936,13.31,purchase,finance,desktop,UK,21,5,1,911,30,0,12,7.02,4,0,0,good,0,0,0,87,0
TXN000017,56189,533,30.93,purchase,travel,tablet,US,6,5,1,2426,80,1,9,20.05,0,0,0,excellent,0,0,0,67,0
TXN000018,21530,143,5.08,purchase,food_delivery,mobile,AE,9,4,0,2772,92,2,7,3.14,1,0,0,fair,0,1,0,24,0
TXN000019,85576,544,40.38,transfer,electronics,mobile,US,21,0,0,36,1,7,18,26.35,11,0,0,good,1,0,0,35,0
TXN000020,50534,514,62.67,purchase,finance,mobile,US,5,4,0,2071,69,5,17,66.5,0,0,0,fair,0,0,0,94,0
TXN000021,55031,876,150.49,purchase,travel,mobile,UK,23,0,0,1842,61,3,11,85.49,1,0,0,fair,0,0,0,61,0
TXN000022,43371,739,7.33,purchase,food_delivery,desktop,IN,1,4,0,1339,44,1,14,5.87,3,0,0,very_good,0,0,1,32,0
TXN000023,26429,272,13.75,transfer,utilities,mobile,SG,6,4,0,162,5,3,13,17.09,3,0,0,very_good,0,0,0,15,0
TXN000024,93407,235,41.67,cash_out,food_delivery,mobile,BR,14,3,0,305,10,1,13,31.01,7,1,0,excellent,0,1,0,42,0
TXN000025,80340,642,8.53,transfer,utilities,mobile,AU,14,2,0,2738,91,1,6,9.4,0,0,0,fair,0,0,0,32,0
TXN000026,67947,142,42.73,purchase,electronics,mobile,US,21,0,0,3020,100,2,9,16.88,0,0,0,poor,0,0,1,44,0
TXN000027,46216,386,64.12,transfer,fashion,mobile,CA,23,4,0,1530,51,1,12,50.58,0,0,0,good,0,0,0,5,0
TXN000028,84047,224,11.55,subscription,education,desktop,DE,16,4,0,3429,114,0,11,7.33,0,0,0,good,0,0,0,47,0
TXN000029,59088,118,41.24,purchase,health,mobile,US,15,3,0,3386,112,0,11,40.82,0,0,1,very_good,1,0,0,25,0
TXN000030,49906,926,12.29,purchase,fashion,mobile,UK,7,5,1,2430,81,3,16,7.25,1,1,0,very_good,1,0,1,97,0
