rank,account,username,followers,category,country
1,Cristiano Ronaldo,cristiano,647.4M,Ball Sports,India
2,Selena Gomez,selenagomez,422.7M,"Photography, Music",United States
3,Leo Messi,leomessi,505M,"Ball Sports, Family",Argentina
4,Ariana Grande,arianagrande,376.7M,Music,United States
5,Kylie Jenner,kyliejenner,395.1M,"Fashion, Modeling",United States
6,Kendall Jenner,kendalljenner,289.9M,"Modeling, Fashion",United States
7,Justin Bieber,justinbieber,294.9M,Music,United States
8,Neymar Jr,neymarjr,227.5M,Ball Sports,Brazil
9,Kylian Mbappé,k.mbappe,123M,Ball Sports,France
10,Kim Kardashian,kimkardashian,358.7M,"Fashion, Beauty",United States
11,Virat Kohli,virat.kohli,270.6M,Ball Sports,India
12,Beyoncé,beyonce,313.4M,"Music, Fashion",United States
13,BILLIE EILISH,billieeilish,121.8M,Music,United States
14,LISA,lalalalisa_m,105.3M,Music,Indonesia
15,Jennie,jennierubyjane,86M,Music,Indonesia
16,Rihanna,badgalriri,150.3M,"Music, Beauty",United States
17,Cardi B,iamcardib,164.4M,"Music, Fashion",United States
18,ROSÉ,roses_are_rosie,82.6M,Music,Indonesia
19,Kourtney Kardashian Barker,kourtneykardash,220.4M,Lifestyle,United States
20,Shraddha Kapoor,shraddhakapoor,94.3M,Cinema & Actors/actresses,India
21,JISOO,sooyaaa__,79.7M,"Music, Beauty",Indonesia
22,jhope,uarmyhope,50.3M,"Art/Artists, Music",United States
23,Alia Bhatt,aliaabhatt,86.2M,Cinema & Actors/actresses,India
24,MrBeast,mrbeast,64.9M,"Shows, Humor & Fun & Happiness",United States
25,Georgina Rodríguez,georginagio,65M,"Lifestyle, Fashion",Iran
26,RM,rkive,46.9M,"Lifestyle, Music",South Korea
27,FC Barcelona,fcbarcelona,134.9M,Ball Sports,Brazil
28,KAROL G,karolg,70.5M,Music,Colombia
29,LeBron James,kingjames,159.6M,Ball Sports,United States
30,차은우,eunwo.o_c,47.2M,"Music, Lifestyle",Indonesia
31,Real Madrid C.F.,realmadrid,171.4M,Ball Sports,Spain
32,Katrina Kaif,katrinakaif,80.5M,Beauty,India
33,Vinicius Jr.,vinijr,52.7M,"Ball Sports, Lifestyle",Brazil
34,Bruno Mars,brunomars,41.2M,Music,Brazil
35,IShowSpeed,ishowspeed,27.3M,Lifestyle,United States
36,Bad Bunny,badbunnypr,46.3M,Music,United States
37,Travis Scott,travisscott,58.8M,Music,United States
38,Priyanka Chopra,priyankachopra,92.6M,Cinema & Actors/actresses,India
39,DUA LIPA,dualipa,87.4M,Music,United States
40,Drake,champagnepapi,143.7M,Music,United States
41,Hailey Bieber,haileybieber,54.1M,"Lifestyle, Modeling",United States
42,Miley Cyrus,mileycyrus,213.6M,Music,United States
43,Dwayne Johnson,therock,394.7M,"Cinema & Actors/actresses, Fitness & Gym",United States
44,Narendra Modi,narendramodi,92.3M,"Finance & Economics, Business & Careers",India
45,Virginia,virginia,52.8M,"Shows, Lifestyle",Brazil
46,Sabrina Carpenter,sabrinacarpenter,43.9M,Music,United States
47,Jenna Ortega,jennaortega,37.9M,"Cinema & Actors/actresses, Lifestyle",United States
48,Instagram,instagram,685.5M,Photography,Iran
49,Olivia Rodrigo,oliviarodrigo,38.4M,"Music, Cinema & Actors/actresses",United States
50,Khabane Lame,khaby00,81.3M,Ball Sports,Brazil
51,Rohit Sharma,rohitsharma45,42.1M,Ball Sports,India
52,Jennifer Lopez,jlo,249.7M,Music,United States
53,KATY PERRY,katyperry,205.1M,Music,United States
54,Jude Bellingham,judebellingham,38.2M,Lifestyle,Brazil
55,Vin Diesel,vindiesel,103.1M,Cinema & Actors/actresses,United States
56,Rashmika Mandanna,rashmika_mandanna,45.3M,Beauty,India
57,Anushka Sharma,anushkasharma,69M,Cinema & Actors/actresses,India
58,BTS official,bts.bighitofficial,75.6M,Music,Brazil
59,Felix,yong.lixx,25.7M,,Brazil
60,David Beckham,davidbeckham,88.3M,Family,United Kingdom
61,Gigi Hadid,gigihadid,77.6M,Modeling,United States
62,Lamine Yamal,lamineyamal,25.4M,Ball Sports,Spain
63,DOVE,dovecameron,47.1M,Cinema & Actors/actresses,United States
64,Abel,theweeknd,76.1M,Music,United States
65,hyunjin,hynjinnnn,23.9M,,Brazil
66,Madison Beer,madisonbeer,39.2M,Music,United States
67,KARINA,katarinabluu,23.6M,Lifestyle,South Korea
68,Shawn Mendes,shawnmendes,71.5M,Music,United States
69,NASA,nasa,96.9M,Science,United States
70,Salman Khan,beingsalmankhan,69.9M,Cinema & Actors/actresses,India
71,Demi Lovato,ddlovato,154.1M,Music,United States
72,Gal Gadot,gal_gadot,108.7M,Cinema & Actors/actresses,United States
73,Bella,bellahadid,61.4M,Modeling,United States
74,Paulo Dybala,paulodybala,57.8M,Ball Sports,Italy
75,Mohamed Salah,mosalah,64.1M,Ball Sports,Egypt
76,Camila Cabello,camila_cabello,64.5M,Music,United States
77,Sydney Sweeney,sydney_sweeney,23.4M,Lifestyle,United States
78,Lewis Hamilton,lewishamilton,38.6M,Racing Sports,Brazil
79,Tom Holland,tomholland2013,64.6M,Cinema & Actors/actresses,United States
80,MALUMA,maluma,64.3M,Music,United States
81,이민호 leeminho,actorleeminho,35.1M,Cinema & Actors/actresses,Indonesia
82,황인엽,hi_high_hiy,21.6M,Cinema & Actors/actresses,Indonesia
83,LANA DEL REY,honeymoon,20.3M,,Brazil
84,Noah Schnapp,noahschnapp,22M,Cinema & Actors/actresses,United States
85,Shakira,shakira,90.8M,Music,Colombia
86,Sergio Ramos,sergioramos,64.9M,Ball Sports,Spain
87,이지금 IU,dlwlrma,32.7M,Art/Artists,South Korea
88,Hande Erçel,handemiyy,31.6M,Cinema & Actors/actresses,Turkey
89,Kriti Sanon,kritisanon,58.6M,Modeling,India
90,Tyler The Creator,feliciathegoat,16.5M,Music,United States
91,DILJIT DOSANJH,diljitdosanjh,25.4M,Cinema & Actors/actresses,India
92,Hardik Pandya,hardikpandya93,36.1M,Ball Sports,India
93,김수현 Kim Soo Hyun 金秀賢,soohyun_k216,21M,,Indonesia
94,Sachin Tendulkar,sachintendulkar,50M,Ball Sports,India
95,Allu Arjun,alluarjunonline,28.7M,Cinema & Actors/actresses,India
96,YEONJUN,yawnzzn,18.8M,,United States
97,김민규,min9yu_k,16.2M,Music,Indonesia
98,Karim Benzema,karimbenzema,76.2M,Ball Sports,France
99,Lele Pons,lelepons,53.6M,Music,United States
100,Toni Kroos,toni.kr8s,49.3M,Ball Sports,Spain
