rank,account,followers,following,likes,uploads
1,Khabane lame,160.5M,86,2.6B,1.31K
2,charli d'amelio,156.7M,1.36K,12B,3.02K
3,MrBeast,124.7M,351,1.3B,452
4,TikTok,93.5M,3,456.7M,1.42K
5,Bella Poarch,92.5M,649,2.4B,67
6,Addison,88.1M,11,5.3B,398
7,WILLIE SALIM,86M,1.08K,1.7B,3.07K
8,Zach King,84.4M,169,1.3B,593
9,Kimberly Loaiza,83.6M,418,4.3B,2.18K
10,The Rock,79.5M,0,660.8M,491
11,Will Smith,78.6M,51,668.2M,422
12,BTS,78.5M,3,1.7B,324
13,domelipa,75.8M,179,5.2B,2.59K
14,BILLIE EILISH,74.4M,77,533.7M,74
15,cznburak,73.9M,2,1.5B,2.99K
16,Real Madrid C.F.,71.9M,29,2B,4.15K
17,VILMEI,70.7M,1.1K,2.4B,5.28K
18,Jason Derulo,65.7M,41,1.3B,1.05K
19,fcbarcelona,65.1M,31,2.6B,5.47K
20,Kylie Jenner,59.7M,30,1.8B,592
21,Selena Gomez,58.9M,74,709M,265
22,YZ,57.3M,171,1.3B,2.31K
23,ESPN,56.9M,571,9.4B,5.67K
24,Karol G,55.3M,0,507.6M,158
25,omari.to,55.3M,58,692.2M,7.52K
26,Champions League,55.2M,58,2.4B,2.14K
27,Bayashi,54.8M,320,1.8B,1.45K
28,dixie,54.1M,186,3.3B,892
29,HOMA,54M,106,1.4B,1.88K
30,Spencer X,53.9M,7.86K,1.3B,1.26K
31,Ria Ricis,53.6M,5,1.7B,4.51K
32,Loren Gray,52.9M,318,3.1B,3.31K
33,ROSÉ,52.5M,0,705.6M,146
34,BLACKPINK,52.2M,8,676M,301
35,Netflix,51.5M,441,1.7B,7.8K
36,psg,51.4M,50,1.1B,3.13K
37,Brent Rivera,50.6M,1.22K,1.8B,1.74K
38,Kris HC,50.4M,1.81K,2.5B,2.06K
39,Michael Le,50.1M,530,1.5B,1.46K
40,IShowSpeed,49.9M,28,400M,30
41,Barstool Sports,48.6M,2.25K,9.5B,17.3K
42,Carlos Feria,47.2M,137,2.7B,5.35K
43,nianaguerrero,46.4M,528,1.2B,1.13K
44,Pongámoslo a Prueba,46.1M,1.21K,1.7B,1.06K
45,Joelle Siwa,46.1M,150,2B,2.92K
46,Brooke Monk,45.7M,2.22K,4.3B,4.56K
47,Katteyes,45.4M,415,3.8B,1.58K
48,noelgoescrazy,44.8M,247,829.3M,1.75K
49,Joe Albanese,44.1M,4.14K,1.8B,2.83K
50,Junya,43.9M,6.85K,717.8M,3.19K
