rank,name,followers,following,likes,videos
1,Khabane lame,160.6M,86,2.6B,1.31K
2,charli d'amelio,156.8M,1.37K,12B,3.03K
3,MrBeast,124.8M,351,1.3B,454
4,TikTok,93.6M,3,456.9M,1.42K
5,Bella Poarch,92.5M,649,2.4B,67
6,Addison,88.2M,9,5.3B,398
7,WILLIE SALIM,86.3M,1.09K,1.7B,3.1K
8,Zach King,84.4M,169,1.3B,594
9,Kimberly Loaiza,83.6M,418,4.3B,2.18K
10,The Rock,79.6M,0,662M,493
11,BTS,79.2M,3,1.7B,329
12,Will Smith,78.6M,51,668.3M,422
13,domelipa,75.8M,181,5.2B,2.59K
14,BILLIE EILISH,74.4M,77,534.2M,74
15,cznburak,73.8M,2,1.5B,3.11K
16,Real Madrid C.F.,72M,29,2B,4.16K
17,VILMEI 🌟,71.1M,1.1K,2.4B,5.28K
18,Jason Derulo,65.7M,41,1.3B,1.05K
19,fcbarcelona,65.2M,31,2.6B,5.49K
20,Kylie Jenner,59.7M,30,1.8B,594
21,Selena Gomez,58.9M,74,709.5M,265
22,YZ,57.3M,172,1.3B,2.31K
23,ESPN,57M,579,9.5B,6.54K
24,omari.to,55.5M,59,695.9M,7.52K
25,Champions League,55.3M,58,2.4B,2.14K
26,Karol G,55.2M,0,507.7M,158
27,バヤシ🥑Bayashi,54.8M,320,1.8B,1.45K
28,dixie,54.1M,186,3.3B,892
29,HOMA,54M,106,1.4B,1.88K
30,Spencer X,53.9M,7.87K,1.3B,1.26K
31,Ria Ricis,53.7M,5,1.7B,4.51K
32,Loren Gray,52.9M,318,3.1B,3.31K
33,ROSÉ,52.5M,0,706.1M,146
34,BLΛƆKPIИK,52.2M,8,676.6M,317
35,Netflix,51.6M,441,1.7B,7.81K
36,psg,51.4M,51,1.1B,3.15K
37,IShowSpeed,50.6M,28,405.6M,30
38,Brent Rivera,50.6M,1.21K,1.8B,1.74K
39,Kris HC,50.4M,1.81K,2.5B,2.06K
40,Michael Le,50.1M,531,1.5B,1.46K
41,Barstool Sports,48.7M,2.6K,9.6B,17.3K
42,Carlos Feria,47.2M,139,2.7B,5.35K
43,nianaguerrero,46.5M,530,1.2B,1.13K
44,Joelle Siwa,46.1M,151,2B,2.92K
45,Pongámoslo a Prueba,46.1M,1.21K,1.7B,1.06K
46,Brooke Monk,45.9M,2.22K,4.3B,4.56K
47,Katteyes,45.4M,426,3.8B,1.58K
48,noelgoescrazy,44.9M,249,831M,1.75K
49,Joe Albanese,44.2M,4.14K,1.8B,2.83K
50,Junya/じゅんや,43.9M,6.86K,717.8M,3.19K
51,juventus,43.9M,58,934.3M,5.18K
52,LALIGA,43.8M,103,904.2M,6.76K
53,spursofficial,43.8M,60,385.2M,3.2K
54,tuzelity,43.7M,352,548.4M,1.18K
55,Shakira,42.9M,71,342.7M,262
56,Virginia,42.3M,23,1.2B,1.68K
57,Bad Bunny,41.9M,0,439.5M,10
58,avani,41.3M,4.81K,3.2B,1.1K
59,Mia K.,41M,3.64K,710.1M,739
60,Gordon Ramsay,40.9M,569,726.5M,680
61,BigChungus,40.9M,48,594.1M,560
62,Ruben Tuesta,40.7M,90,1.5B,1.92K
63,James Charles,40.7M,409,1.6B,1.16K
64,Аnokhina Liza,40.6M,58,1.5B,198
65,XO TEAM,40.4M,2,1.3B,3.85K
66,Lucas and Marcus,40.3M,10K,1.1B,1.69K
67,arianagrande,40.1M,17,348.8M,347
68,Surthycooks,39.7M,198,1.2B,1.46K
69,Montpantoja,39.2M,805,2.6B,2.04K
70,Netflix Latinoamérica,39.2M,456,1.1B,3.38K
71,HotSpanish,39M,83,1.1B,1.34K
72,KEEMOKAZI,38.8M,102,2.2B,3.38K
73,Fujiiian,38.8M,485,2.5B,2.24K
74,Lamine Yamal,38.3M,7,336.6M,66
75,Sabrina Carpenter,38.3M,1,555.3M,262
76,Its.michhh🐈‍⬛,38M,2.8K,3B,2.87K
77,Emir Abdul Gani,37.7M,472,864.9M,2.05K
78,Scott 🔥,37M,2.19K,946.2M,1.14K
79,BabyAriel,36.6M,1.06K,1.9B,2.8K
80,BORREGO,36.5M,445,1.3B,1.03K
81,spider_slack,36.4M,1.24K,721.4M,1.09K
82,Arnaldo Mangini,36.2M,210,278.2M,2.17K
83,wigofellas,36.1M,25,901.7M,1.7K
84,Enejota,35.9M,853,221.5M,84
85,BRIANDA 💖,35.9M,403,2.8B,3.94K
86,ondy mikula,35.7M,9.71K,595.2M,13.2K
87,WWE,35.7M,125,1.2B,9K
88,Bader Al Safar,35.6M,1,1.1B,2.33K
89,Stray Kids,35.6M,0,1.9B,1.2K
90,Gil Croes,35.4M,443,874.2M,799
91,Manchester City,35.2M,112,1.1B,2.97K
92,Benji Krol,35.1M,1.26K,2.1B,4.23K
93,Alejandro Nieto,35M,365,3B,4.38K
94,Kunno,34.1M,951,3.5B,6.13K
95,Kevin Hart,34.1M,21,185.3M,140
96,Devon Rodriguez,34.1M,122,528.6M,1.18K
97,kyle thomas 🦸🏻‍♂️,34M,4.85K,1.7B,244
98,Kirya Kolesnikov,33.9M,97,787.4M,537
99,enhypen,33.6M,0,2.5B,1.1K
100,Ibnu Wardani,33.6M,492,931.6M,1.33K
