rank,channel,followers
1,KaiCenat,20.19M
2,ibai,19.83M
3,Ninja,19.26M
4,auronplay,17M
5,Rubius,16.24M
6,xQc,12.34M
7,easyliker,12.26M
8,TheGrefg,12.26M
9,juansguarnizo,11.63M
10,Tfue,11.54M
11,shroud,11.31M
12,ElMariana,10.91M
13,edu90,10.8M
14,ElSpreen,9.71M
15,Jynxzi,9.44M
16,pokimane,9.37M
17,sodapoppin,8.97M
18,Clix,8.53M
19,caseoh_,8.33M
20,alanzoka,7.99M
21,TimTheTatman,7.62M
22,Riot Games,7.36M
23,Myth,7.28M
24,tommyinnit,7.25M
25,SypherPK,7.23M
26,Mongraal,7.2M
27,AriGameplays,7.13M
28,loud_coringa,7.07M
29,AdinRoss,7.03M
30,rivers_gg,6.84M
31,NICKMERCS,6.76M
32,ESLCS,6.65M
33,Quackity,6.54M
34,summit1g,6.38M
35,Fortnite,6.3M
36,quiriify,6.28M
37,AMOURANTH,6.08M
38,Dream,6.07M
39,Its_J0schi,5.95M
40,Robleis,5.92M
41,Squeezie,5.84M
42,NickEh30,5.79M
43,moistcr1tikal,5.78M
44,MontanaBlack88,5.76M
45,elded,5.69M
46,Bugha,5.49M
47,loltyler1,5.47M
48,Tubbo,5.22M
49,Carreraaa,4.96M
50,quirify,4.95M
