rank,channel,subscribers,video_views,uploads
1,MrBeast,474M,116.11B,956
2,T-Series,311M,335.8B,25.76K
3,Cocomelon - Nursery Rhymes,200M,219.43B,1.96K
4,YouTube Movies,197M,0,0
5,SET India,189M,187.23B,168.42K
6,Vlad and Niki,149M,120.14B,1.01K
7,✿ Kids Diana Show,138M,123.57B,1.59K
8,Stokes Twins,138M,29.38B,430
9,Like Nastya,132M,119.92B,1.06K
10,김프로KIMPRO,131M,138.01B,3.99K
11,Music,126M,0,0
12,Zee Music Company,122M,87.01B,15.97K
13,WWE,112M,102.96B,92.16K
14,Alejo Igoa,111M,33.55B,1.31K
15,PewDiePie,110M,29.49B,4.66K
16,Goldmines,109M,31.83B,13.36K
17,Sony SAB,105M,141.34B,109.49K
18,BLACKPINK,100M,41.76B,666
19,Alan's Universe,100M,60.56B,1.63K
20,ChuChu TV Nursery Rhymes & Kids Songs,98.1M,58.87B,1.09K
21,Zee TV,97.5M,114.87B,231.33K
22,A4,92.7M,37.18B,1.04K
23,Gaming,92.1M,0,0
24,Topper Guild,85.9M,30.8B,1.44K
25,Baby Shark - Pinkfong Kids' Songs & Stories,84.4M,54.77B,3.83K
26,BANGTANTV,83.4M,27.2B,2.99K
27,KL BRO Biju Rithvik,82.8M,94.97B,3.67K
28,Toys and Colors,82.3M,117.17B,1.8K
29,ZAMZAM BROTHERS OFFICIAL,82.1M,42.12B,22.6K
30,Colors TV,82M,1.53B,72.94K
31,T-Series Bhakti Sagar,81.8M,46.78B,31.96K
32,Tips Official,81M,54.68B,9.57K
33,5-Minute Crafts,80.8M,28.46B,8.11K
34,HYBE LABELS,80.5M,44.48B,3.06K
35,UR · Cristiano,78.5M,973.56M,131
36,Justin Bieber,77.2M,37.55B,278
37,Aaj Tak,74.9M,44.66B,624.96K
38,Mark Rober,74.7M,16.18B,251
39,Shemaroo Filmi Gaane,74.4M,35.14B,10K
40,Sports,74.4M,0,0
41,ISSEI / いっせい,73.8M,63.78B,4.55K
42,Fede Vigevani,73.1M,24.94B,1.67K
43,HAR PAL GEO,72.3M,79.97B,202.78K
44,Infobells - Hindi,72.2M,47.38B,924
45,Bispo Bruno Leonardo,72M,10.92B,9.37K
46,YRF,71.6M,56.93B,4.92K
47,El Reino Infantil,71M,72.3B,2.09K
48,Sony Music India,70.5M,58.37B,11.81K
49,Anaya Kandhal,69.9M,97.18B,3.92K
50,Wave Music,69.8M,48.37B,21.13K
