rank,title,subscribers,views,country,profile_picture_url
1,T-Series,311000000,3.37404E+11,India,https://yt3.ggpht.com/VunTf0NzCeboiPjbesBdnQuxaF3Lja7UGRbBGQAWRJgMSTj9TTLO3pS1X9qPOJGCNnmPrXeY=s800-c-k-c0x00ffffff-no-rj
2,SET India,189000000,1.87589E+11,India,https://yt3.ggpht.com/vmmZsYmryt238vqck4KAYf69gOSu22ZfqVE3rwT1tYz4hr68xl7crIUK7kghQgR6RiB9IlQ5mQ=s800-c-k-c0x00ffffff-no-rj
3,Zee Music Company,122000000,87386075076,India,https://yt3.ggpht.com/zGnrFUqmF6Xp2tM8ecG9sVXyHjJUrqa7GnNV_kATAdAvSwfgIg7693GURHASA7C6OPK3YmGZ=s800-c-k-c0x00ffffff-no-rj
4,Goldmines,109000000,31952402985,India,https://yt3.ggpht.com/Ls4lEH-dc1OkDysPqLKpeD5CFfUzzW4cTBTkZWAuax3npqrtFhTqC91wpfe02oSd9swnyQnb=s800-c-k-c0x00ffffff-no-rj
5,Sony SAB,105000000,1.41901E+11,India,https://yt3.ggpht.com/W6hlyHF8FP_YVLnkzBGQYtdpf0hB8pILZvQYw4jMYIqgcGeS1RBTvk9VHUXGk3mDZhhv-26o-zc=s800-c-k-c0x00ffffff-no-rj
6,ChuChu TV Nursery Rhymes & Kids Songs,98100000,59009177884,India,https://yt3.ggpht.com/9HW0sh3SxpygY7QohdMTkUfNToJHJR1M_C1UYevboxlesumkq84nMLo1RT0JI0NYb7dqv2kHUMM=s800-c-k-c0x00ffffff-no-rj
7,Zee TV,97600000,1.15338E+11,India,https://yt3.ggpht.com/azn2b7O1Xx3JXUYAQ3XqdFl3bvhrcVhumeccIFs6N-VxhrUdhachSlZFCZlM26NEdEvU06mpS2U=s800-c-k-c0x00ffffff-no-rj
8,Colors TV,82000000,1614388674,India,https://yt3.ggpht.com/mRNGkmDmxAg5ryUBU-6eC7j3vjTJ3hdztfg9u_j4b-EVp37N-3EPqeRDHjn2IB0L7nIX5TkC8A=s800-c-k-c0x00ffffff-no-rj
9,T-Series Bhakti Sagar,81900000,47027998157,India,https://yt3.ggpht.com/ytc/AIdro_lEOsOKSwfkzCB5bj1mTBIKOG7rBJmipaGnWMtcUnEF0I6J=s800-c-k-c0x00ffffff-no-rj
10,Tips Official,81100000,54991195073,India,https://yt3.ggpht.com/zSQrmF-U4JwDv9QalTMOuEEWjGDjM9LvNgahKGGks6WKhe6XEOFf2C4ErQ-1-J9o2wFrHtIw5A=s800-c-k-c0x00ffffff-no-rj
11,Aaj Tak,75000000,44972640921,India,https://yt3.ggpht.com/ytc/AIdro_m1WLxquYeEO9VgyA7-cYFrn_hd2dSaNtmL8-NIHMCQIuPQ=s800-c-k-c0x00ffffff-no-rj
12,Shemaroo Filmi Gaane,74400000,35249568256,India,https://yt3.ggpht.com/kjtZtA7VdnPHCfZ3UYqxhYF5zV7sVFoDcmA8TNHoXH6BIx8yTDllqEvICbIiws_TLws80S2L9PQ=s800-c-k-c0x00ffffff-no-rj
13,Infobells - Hindi,72200000,47564429707,India,https://yt3.ggpht.com/ytc/AIdro_mWKlOUcsnrq8oXV8BemcuyrfG52ztaqZmoDThFc1v-etg=s800-c-k-c0x00ffffff-no-rj
14,YRF,71600000,57236980935,India,https://yt3.ggpht.com/ukiLOR2xcRjb4vEfv_DvcTU-5WgGyhwL3w1jQxvTBVdMbBlrtDopxKwg8Scs66C8nFgXu-cl=s800-c-k-c0x00ffffff-no-rj
15,Sony Music India,70700000,62079624670,India,https://yt3.ggpht.com/42o3XIW1j5zmzsFeZs3ND4QwaXXrnpK9vqftcEuEdbgNhPbltXRktcSmyJ12-gSRqKch93Ir=s800-c-k-c0x00ffffff-no-rj
16,Anaya Kandhal,70400000,98620538620,India,https://yt3.ggpht.com/Wf_SW1J54YH3ZahhvU7CtF9V_IooNAVzQTkHtgxpHkfJSssWFEs_WR6qXGwieEbvLyUjdNtY=s800-c-k-c0x00ffffff-no-rj
17,Wave Music,69900000,48492863310,India,https://yt3.ggpht.com/-m-efGozwxkvoZiijhjJcLSuUxZQpXvJu9tObrAbfhrtr67AAf1V674HBB8eHixOLHrj3WBlgxI=s800-c-k-c0x00ffffff-no-rj
18,Dangal TV Channel,61500000,58276751001,India,https://yt3.ggpht.com/JIt8cyzUH7FSN5h7bnVf1eWt27cHL6USpl_lkrjx3d831K_U1YLQWvrTO5zMokSPhU1F-RRStg=s800-c-k-c0x00ffffff-no-rj
19,Saregama Music,61500000,33243932410,India,https://yt3.ggpht.com/kzVDg0rujy7laR7qjVTsa7GaiJd6WkQrSlJxDNrhzakH7681kmv7tnoF7VaDmixuYs59QuED8A=s800-c-k-c0x00ffffff-no-rj
20,Shemaroo,61500000,27883259455,India,https://yt3.ggpht.com/ytc/AIdro_mhdF4RNZM9OHP-A8BvrQO4q6BenIVFCTfjURrYjYxAxw=s800-c-k-c0x00ffffff-no-rj
21,आचार्य प्रशान्त - Acharya Prashant,60100000,5694254949,India,https://yt3.ggpht.com/bRu42aqD97lGIE1fbNdynRD0iTC00FJGfjmEldxJN5UlqiQCTcJcmscaZ4edjgchQ4QEAFEcZg=s800-c-k-c0x00ffffff-no-rj
