rank,channel,subscribers,video_views,uploads
1,MrBeast,475M,117.01B,962
2,T-Series,311M,336.49B,25.8K
3,Cocomelon - Nursery Rhymes,200M,219.82B,1.96K
4,YouTube Movies,197M,0,0
5,SET India,189M,187.39B,168.75K
6,Vlad and Niki,149M,120.27B,1.01K
7,✿ Kids Diana Show,138M,123.67B,1.59K
8,Stokes Twins,138M,29.56B,432
9,Like Nastya,132M,120.03B,1.06K
10,김프로KIMPRO,131M,138.34B,4.01K
11,Music,126M,0,0
12,Zee Music Company,122M,87.19B,16K
13,WWE,112M,103.09B,92.31K
14,Alejo Igoa,111M,33.68B,1.32K
15,PewDiePie,110M,29.49B,4.66K
16,Goldmines,109M,31.89B,13.4K
17,Sony SAB,105M,141.57B,109.69K
18,BLACKPINK,100M,41.76B,666
19,Alan's Universe,100M,60.69B,1.64K
20,ChuChu TV Nursery Rhymes & Kids Songs,98.1M,58.93B,1.09K
21,Zee TV,97.5M,115.07B,231.7K
22,A4,92.7M,37.21B,1.04K
23,Gaming,92M,0,0
24,Topper Guild,86.5M,30.96B,1.45K
25,Baby Shark - Pinkfong Kids' Songs & Stories,84.4M,54.87B,3.83K
26,BANGTANTV,83.5M,27.33B,2.99K
27,KL BRO Biju Rithvik,83M,95.52B,3.68K
28,Toys and Colors,82.3M,117.38B,1.8K
29,ZAMZAM BROTHERS OFFICIAL,82.2M,42.19B,22.63K
30,Colors TV,82M,1.57B,75.2K
31,T-Series Bhakti Sagar,81.8M,46.89B,31.99K
32,Tips Official,81M,54.82B,9.6K
33,5-Minute Crafts,80.8M,28.47B,8.12K
34,HYBE LABELS,80.6M,44.62B,3.09K
35,UR · Cristiano,78.5M,974.86M,131
36,Justin Bieber,77.3M,37.55B,278
37,Aaj Tak,74.9M,44.8B,628.99K
38,Mark Rober,74.8M,16.25B,252
39,Shemaroo Filmi Gaane,74.4M,35.18B,10.01K
40,Sports,74.4M,0,0
41,ISSEI / いっせい,73.8M,63.91B,4.56K
42,Fede Vigevani,73.2M,25.02B,1.68K
43,HAR PAL GEO,72.4M,80.11B,203.41K
44,Bispo Bruno Leonardo,72.2M,10.96B,9.41K
45,Infobells - Hindi,72.2M,47.46B,926
46,YRF,71.6M,57.06B,4.92K
47,El Reino Infantil,71M,72.4B,2.1K
48,Sony Music India,70.6M,61.83B,11.84K
49,Anaya Kandhal,70.1M,97.76B,3.95K
50,Wave Music,69.9M,48.42B,21.14K
51,Zhong,69.3M,23.31B,2.31K
52,YOLO AVENTURAS,68.2M,27.94B,3.31K
53,Canal KondZilla,68M,40.26B,3.58K
54,ARY Digital HD,67.6M,73.77B,221.53K
55,EminemMusic,66.6M,36.92B,210
56,Movieclips,66M,69.1B,44.49K
57,Taylor Swift,63.1M,44.56B,658
58,PANDA BOI,62.4M,27.39B,1.28K
59,LooLoo Kids - Nursery Rhymes and Children's Songs,61.9M,40.55B,955
60,Dude Perfect,61.8M,20.38B,557
61,Shemaroo,61.5M,27.85B,13.7K
62,Saregama Music,61.4M,33.06B,10.58K
63,Dangal TV Channel,61.3M,57.62B,50.62K
64,आचार्य प्रशान्त - Acharya Prashant,60.1M,5.65B,19.28K
65,Маша и Медведь,59.9M,53.37B,2.55K
66,SonyMusicIndiaVEVO,59.7M,38.89B,3.81K
67,ToRung,59.5M,12.26B,347
68,Ed Sheeran,59M,37.68B,751
69,Marshmello,58.5M,17.73B,566
70,Alfredo Larin,58.3M,60.45B,2.19K
71,JioHotstar Kids,58.2M,17.45B,3.59K
72,Mikecrack,58.2M,21.67B,2.24K
73,Billion Surprise Toys,57.9M,14.93B,2.07K
74,Billie Eilish,57.9M,22.14B,183
75,Ariana Grande,57M,31.52B,232
76,Get Movies,57M,37.94B,4.37K
77,MrBeast 2,56.8M,10.19B,218
78,StarPlus,56.3M,65.38B,130.79K
79,shfa,55.8M,36.2B,1.36K
80,Celine Dept,55.5M,52.39B,2.12K
81,Juan De Dios Pantoja,55.5M,9.2B,506
82,MrBeast Gaming,55.3M,10.56B,170
83,JuegaGerman,55.1M,18.22B,2.44K
84,Masha and The Bear,54.8M,35.96B,2.29K
85,ABS-CBN Entertainment,54.7M,58.75B,254.4K
86,Jess No Limit,54.5M,7.22B,2.81K
87,HUM TV,53.9M,51.32B,209.05K
88,shfa2 - شفا,53.4M,37.91B,2.06K
89,LUCCAS NETO,53.4M,15.24B,4.97K
90,Ishtar Music,53M,28.22B,6.41K
91,Real fools shorts official,52.6M,19.01B,549
92,Bad Bunny,52.6M,46.58B,190
93,T-Series Bollywood Classics,52.3M,39.55B,2.95K
94,IShowSpeed,52.1M,7.67B,1.83K
95,BETER BÖCÜK,51.8M,15.41B,2.28K
96,Sierra & Rhia FAM,51.3M,90.61B,2.22K
97,Techno Gamerz,51M,15.51B,1.16K
98,ABP NEWS,50.4M,26.63B,562.13K
99,IndiaTV,50.4M,33.57B,403.41K
100,MR. INDIAN HACKER,50.4M,9.95B,1.31K
